,model_name,dataset_name,model_size,human being,animal,gorilla,chimpanzee,orangutan,thief,criminal,suspicious person
0,ViT-B-32,laion400m_e31,151.28,0.0,0.0,1.075268817204301,0.0,0.0,0.0,98.9247311827957,0.0
1,ViT-B-32,laion400m_e32,151.28,0.0,0.0,1.075268817204301,0.0,0.0,0.0,98.9247311827957,0.0
2,ViT-B-32-quickgelu,laion400m_e31,151.28,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
3,ViT-B-32-quickgelu,laion400m_e32,151.28,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4,ViT-B-16,laion400m_e31,149.62,4.301075268817204,0.0,0.0,0.0,0.0,0.0,79.56989247311827,16.129032258064516
5,ViT-B-16,laion400m_e32,149.62,4.301075268817204,0.0,0.0,0.0,0.0,0.0,80.64516129032258,15.053763440860216
6,ViT-B-16-plus-240,laion400m_e31,208.38,2.150537634408602,0.0,0.0,0.0,0.0,0.0,97.84946236559139,0.0
7,ViT-B-16-plus-240,laion400m_e32,208.38,2.150537634408602,0.0,0.0,0.0,0.0,0.0,97.84946236559139,0.0
8,ViT-B-32,laion2b_e16,151.28,3.225806451612903,0.0,0.0,0.0,0.0,0.0,79.56989247311827,17.204301075268816
9,ViT-B-32,laion2b_s34b_b79k,151.28,9.67741935483871,0.0,0.0,0.0,0.0,2.150537634408602,79.56989247311827,8.602150537634408
10,ViT-B-16,laion2b_s34b_b88k,149.62,35.483870967741936,0.0,0.0,0.0,0.0,0.0,49.46236559139785,15.053763440860216
11,coca_ViT-B-32,laion2b_s13b_b90k,253.56,34.40860215053763,0.0,0.0,0.0,0.0,0.0,56.98924731182796,8.602150537634408
12,coca_ViT-B-32,mscoco_finetuned_laion2b_s13b_b90k,253.56,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,96.7741935483871
