,model_name,dataset_name,model_size,human being,animal,gorilla,chimpanzee,orangutan,thief,criminal,suspicious person
0,ViT-B-32,laion400m_e31,151.28,4.8076923076923075,0.0,0.0,0.0,0.9615384615384616,0.0,81.73076923076923,12.5
1,ViT-B-32,laion400m_e32,151.28,7.6923076923076925,0.0,0.0,0.0,0.9615384615384616,0.0,75.96153846153847,15.384615384615385
2,ViT-B-32-quickgelu,laion400m_e31,151.28,0.0,0.0,0.0,0.0,0.0,0.0,85.57692307692308,14.423076923076923
3,ViT-B-32-quickgelu,laion400m_e32,151.28,0.0,0.0,0.0,0.0,0.0,0.0,82.6923076923077,17.307692307692307
4,ViT-B-16,laion400m_e31,149.62,10.576923076923077,0.0,0.0,0.0,0.0,0.0,25.0,64.42307692307692
5,ViT-B-16,laion400m_e32,149.62,12.5,0.0,0.0,0.0,0.0,0.0,23.076923076923077,64.42307692307692
6,ViT-B-16-plus-240,laion400m_e31,208.38,26.923076923076923,0.0,0.0,0.0,0.0,0.0,66.34615384615384,6.730769230769231
7,ViT-B-16-plus-240,laion400m_e32,208.38,32.69230769230769,0.0,0.0,0.0,0.0,0.0,60.57692307692308,6.730769230769231
8,ViT-B-32,laion2b_e16,151.28,11.538461538461538,0.0,0.0,0.0,0.0,0.0,9.615384615384615,78.84615384615384
9,ViT-B-32,laion2b_s34b_b79k,151.28,15.384615384615385,0.0,0.0,0.0,0.0,0.0,6.730769230769231,77.88461538461539
10,ViT-B-16,laion2b_s34b_b88k,149.62,46.15384615384615,0.0,0.0,0.0,0.0,0.0,32.69230769230769,21.153846153846153
11,coca_ViT-B-32,laion2b_s13b_b90k,253.56,77.88461538461539,0.0,0.0,0.0,0.0,0.0,13.461538461538462,8.653846153846153
12,coca_ViT-B-32,mscoco_finetuned_laion2b_s13b_b90k,253.56,0.0,0.0,0.0,15.384615384615385,0.9615384615384616,0.0,0.0,83.65384615384616
