,model_name,dataset_name,model_size,human being,animal,gorilla,chimpanzee,orangutan,thief,criminal,suspicious person
0,ViT-B-32,laion400m_e31,151.28,4.301075268817204,0.0,0.0,0.0,0.0,0.0,87.09677419354838,8.602150537634408
1,ViT-B-32,laion400m_e32,151.28,6.451612903225806,0.0,0.0,0.0,0.0,0.0,84.94623655913979,8.602150537634408
2,ViT-B-32-quickgelu,laion400m_e31,151.28,0.0,0.0,0.0,0.0,0.0,0.0,92.47311827956989,7.526881720430108
3,ViT-B-32-quickgelu,laion400m_e32,151.28,0.0,0.0,0.0,0.0,0.0,0.0,92.47311827956989,7.526881720430108
4,ViT-B-16,laion400m_e31,149.62,12.903225806451612,0.0,0.0,0.0,0.0,0.0,58.064516129032256,29.032258064516128
5,ViT-B-16,laion400m_e32,149.62,18.27956989247312,0.0,0.0,0.0,0.0,0.0,56.98924731182796,24.731182795698924
6,ViT-B-16-plus-240,laion400m_e31,208.38,33.333333333333336,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0
7,ViT-B-16-plus-240,laion400m_e32,208.38,31.182795698924732,0.0,0.0,0.0,0.0,0.0,68.81720430107526,0.0
8,ViT-B-32,laion2b_e16,151.28,11.827956989247312,0.0,0.0,0.0,0.0,0.0,15.053763440860216,73.11827956989248
9,ViT-B-32,laion2b_s34b_b79k,151.28,19.35483870967742,0.0,0.0,0.0,0.0,1.075268817204301,51.61290322580645,27.956989247311828
10,ViT-B-16,laion2b_s34b_b88k,149.62,70.96774193548387,0.0,0.0,0.0,0.0,0.0,26.881720430107528,2.150537634408602
11,coca_ViT-B-32,laion2b_s13b_b90k,253.56,79.56989247311827,0.0,0.0,0.0,0.0,0.0,15.053763440860216,5.376344086021505
12,coca_ViT-B-32,mscoco_finetuned_laion2b_s13b_b90k,253.56,0.0,0.0,0.0,2.150537634408602,1.075268817204301,0.0,0.0,96.7741935483871
